kode_provinsi,nama_provinsi,kode_kabupaten_kotakode_kabupaten_kota,nama_kabupaten_kota,tahun,Nama_Sungai,Tahap,Lokasi_Sampling,Lintang_Selatan,Bujur_Timur,pH,Suhu_(0C),DHL_(µS/cm),Salinitas_(ppt),Do_(mg/L),TDS_(mg/L),TSS_(mg/L),BOD_(mg/L),COD_(mg/L),Nitrat_(mg/L),Nitrit_(mg/L),Fenol_(µg/L),Sulfida_(mg/L),Sianida_(mg/L),Phospat_(mg/L),MBAS_(µg/L),M&L_(µg/L),NH3N_(mg/L),Klorin_(mg/L),EColi_(MPN/100ml),Coliform_(MPN/100ml),Mercury_(mg/L),Nilai_IP,Status_MutuAir,Latitude,Longitude
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,I,Titik I - Desa Peunaloy Kec. Seulimum,"05o 21’ 8,40”","095o 34’ 33,20”",7.43,27.0,190.6,0.09,6.21,175.0,17.0,2.09,25.66,4.43,0.03,1.0,0.001,0.0198,0.3,78.34,428.8,0.06,0.02,683.0,1095.0,0.0,2.313,Cemar Ringan,-5.352333333333333,95.57588888888888
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,I,Titik II - Jembatan Pasar Indrapuri Kec. Indrapuri,"05o 24’ 48,5”","095 26’ 46,6”",7.56,28.2,236.0,0.11,5.9,217.8,29.0,2.9,21.82,4.11,0.03,1.0,0.001,0.0297,0.34,86.93,437.6,0.05,0.01,1018.0,1453.0,0.0,2.419,Cemar Ringan,-5.4134722222222225,95.44627777777778
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,I,Titik III - Bendungan Karet Lambaro Desa Jurong Peujera Kec. Ingin Jaya,"05o 31’ 07,4”","095o 21’ 44,0” ",7.25,28.8,245.9,0.11,5.29,226.5,25.0,2.56,24.38,4.15,0.03,1.0,0.001,0.0221,0.38,129.84,422.8,0.08,0.02,882.0,1382.0,0.0,2.501,Cemar Ringan,-5.518722222222222,95.36222222222221
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,I,Titik III - Jembatan Simpang Surabaya Desa Suka Damai Kec. Baiturrahman,"05o 33’12,54”","0950 19’50,47”",7.2,28.4,302.0,0.14,4.35,278.1,25.0,2.17,20.53,4.41,0.03,1.0,0.001,0.0192,0.38,78.34,431.2,0.13,0.04,884.0,1257.0,0.0,2.506,Cemar Ringan,-5.553483333333333,950.3306861111112
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,II,Titik I - Desa Peunaloy Kec. Seulimum,"05o 21’ 8,40”","095o 34’ 33,20”",7.74,28.0,160.7,0.08,5.12,80.56,20.0,3.57,35.93,3.57,0.03,1.0,0.01,0.002,0.14,35.43,410.4,0.12,0.01,546.0,1570.0,0.0,2.313,Cemar Ringan,-5.352333333333333,95.57588888888888
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,II,Titik II - Jembatan Pasar Indrapuri Kec. Indrapuri ,"05o 24’ 48,5”","095 26’ 46,6”",7.5,29.0,189.8,0.09,5.61,95.42,31.0,4.01,16.68,4.01,0.03,1.0,0.01,0.003,0.12,52.6,412.8,0.17,0.03,718.0,2300.0,0.0,2.419,Cemar Ringan,-5.4134722222222225,95.44627777777778
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,II,Titik III - Bendungan Karet Lambaro Desa Jurong Peujera Kec. Ingin Jaya,"05o 31’ 07,4”","095o 21’ 44,0” ",7.7,31.5,183.9,0.09,4.77,92.92,26.0,4.0,30.79,4.0,0.03,1.0,0.01,0.002,0.17,69.76,411.6,0.14,0.02,653.0,1858.0,0.0,2.501,Cemar Ringan,-5.518722222222222,95.36222222222221
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,II,Titik IV - Jembatan Simpang Surabaya Desa Suka Damai Kec. Baiturrahman,"05o 33’12,54”","0950 19’50,47”",7.55,30.8,195.7,0.1,4.75,98.64,25.0,3.95,35.93,3.95,0.03,1.0,0.01,0.004,0.2,61.18,417.2,0.12,0.02,707.0,1913.0,0.0,2.506,Cemar Ringan,-5.553483333333333,950.3306861111112
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Aceh,II,Titik V - Belakang Mesjid Pasar Ikan Desa Peunayong Kec. Kuta Raja,"05o 33’ 43,5”","095o 19’ 06,6”",7.47,30.7,207.6,0.1,4.26,103.93,45.0,4.52,19.25,4.52,0.03,1.0,0.01,0.003,0.14,69.76,420.0,0.13,0.04,1022.0,2508.0,0.0,2.659,Cemar Ringan,-5.562083333333333,95.3185
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,I,Titik I - Desa Suka Tani Kec. Juli,"04o 59’ 07,3”","096o 41’ 47,2”",7.48,26.1,40.53,0.03,4.94,20.36,21.0,2.23,37.21,5.26,0.03,1.0,0.001,0.0186,0.19,52.6,418.8,0.13,0.02,695.0,2091.0,0.0,2.305,Cemar Ringan,-4.985361111111112,96.69644444444445
